번호,저자(연도),제목,연구목적,이론/핵심개념,변수,데이터/표본,연구방법,핵심결과,한계,내 연구와의 연결점,활용 위치(서론/이론/방법/논의)
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
